REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC_2020,RANKING,RANGOS,Población_2017,Población_2002,Población_1992,Macroregioes
VALPARAÍSO,ALGARROBO,811.1,134.8,638.2,411.7,116,Medio,13817.0,8292.0,5657.0,Zona Central
RM,ALHUÉ,836.7,55.1,554.3000000000001,294.5,263,Medio bajo,6444.0,4389.0,3973.0,Zona Central
BIOBÍO,ALTO BIOBÍO,220.6,36.900000000000006,489.0,158.4,341,Bajo,5923.0,6189.0,5277.0,Zona Sur
RM,ALTO DEL CARMEN,687.6,49.7,541.9000000000001,264.7,296,Bajo,5299.0,4695.0,4668.0,Zona Central
TARAPACÁ,ALTO HOSPICIO,866.4,118.3,680.3000000000001,411.5,117,Medio,108375.0,49436.0,5511.0,Zona Norte Grande
LOS LAGOS,ANCUD,698.9,147.79999999999998,704.6,417.5,113,Medio,38991.0,39762.0,37577.0,Zona Sur
COQUIMBO,ANDACOLLO,796.2,53.1,648.3,301.6,254,Medio bajo,11044.0,10411.0,12272.0,Zona Norte Chico
ARAUCANÍA,ANGOL,844.3000000000001,134.7,786.2,447.1,84,Medio,53262.0,48548.0,45951.0,Zona Sur
ANTOFAGASTA,ANTOFAGASTA,926.1,338.3,753.6,618.0,9,Medio alto,361873.0,289477.0,227065.0,Zona Norte Grande
BIOBÍO,ANTUCO,712.3000000000001,47.7,585.9,271.0,291,Bajo,4073.0,3880.0,4106.0,Zona Sur
BIOBÍO,ARAUCO,777.6999999999999,141.2,767.8000000000001,438.4,93,Medio,36257.0,34790.0,29736.0,Zona Sur
ARICA Y PARINACOTA,ARICA,889.5999999999999,232.2,763.0,540.1,37,Medio alto,221364.0,184914.0,168633.0,Zona Norte Grande
AYSÉN,AYSÉN,884.4,190.4,679.1,485.4,63,Medio,23959.0,22111.0,18885.0,Zona Austral
RM,BUIN,891.0,167.1,736.1,478.5,67,Medio,96614.0,62986.0,52185.0,Zona Central
BIOBÍO-ÑUBLE,BULNES,763.8000000000001,91.4,664.0,359.20000000000005,179,Medio bajo,21493.0,20567.0,19638.0,Zona Sur
VALPARAÍSO,CABILDO,849.7,103.3,685.1,391.7,132,Medio,19388.0,19033.0,17450.0,Zona Central
MAGALLANES,CABO DE HORNOS,953.7,76.6,642.0,360.6,174,Medio bajo,2063.0,2176.0,1616.0,Zona Austral
BIOBÍO,CABRERO,803.4,122.2,689.2,407.4,120,Medio,28573.0,25229.0,21496.0,Zona Sur
ANTOFAGASTA,CALAMA,886.9,250.3,759.8000000000001,552.5,27,Medio alto,165731.0,137144.0,121827.0,Zona Norte Grande
LOS LAGOS,CALBUCO,623.1999999999999,83.0,660.3,324.40000000000003,224,Medio bajo,33985.0,31023.0,27214.0,Zona Sur
ATACAMA,CALDERA,846.6,90.1,640.5999999999999,365.6,164,Medio bajo,17662.0,13305.0,11673.0,Zona Norte Chico
RM,CALERA DE TANGO,845.8,143.6,708.6,441.5,88,Medio,25392.0,18138.0,11810.0,Zona Central
VALPARAÍSO,CALLE LARGA,810.4,78.39999999999999,709.5,355.9,182,Medio bajo,14832.0,10069.0,9662.0,Zona Central
