Comuna,Esperanza_vida,Tasa_matriculación_combinada,Alfabetismo_adulto,PIB_per_cápita,Índice_PIB,Índice_alfabetización,Índice_matriculación,Índice_nivelEducacional,Índice_esperanza_vida,IDH_2005,State,Pop_total_2005,Pop_Urban,Pop_Rural,PopUrban_percent_total,Pop_Hombre,Pop_Mujer,Indice_Hombre,Macroregioes
AHUACHAPÁN,69.6,60.2,80.5,"3,567",597.0,805.0,602.0,737.0,743.0,692.0,Ahuachapán,90593.0,28841.0,61752.0,31.8,44504.0,46089.0,0.97,Zona occidental
APANECA,70.1,62.4,81.0,"3,579",597.0,810.0,624.0,748.0,751.0,699.0,Ahuachapán,7745.0,2962.0,4783.0,38.2,3865.0,3881.0,1.0,Zona occidental
ATIQUIZAYA,69.8,65.3,81.5,"3,871",610.0,815.0,653.0,761.0,747.0,706.0,Ahuachapán,32061.0,11294.0,20767.0,35.2,15218.0,16843.0,0.9,Zona occidental
CONCEPCIÓN DE ATACO,70.9,58.1,76.6,"3,740",604.0,766.0,581.0,704.0,765.0,691.0,Ahuachapán,1389.0,6975.0,6915.0,50.2,6498.0,7392.0,0.88,Zona occidental
EL REFUGIO,69.6,68.1,85.9,"5,073",655.0,859.0,681.0,799.0,743.0,733.0,Ahuachapán,5561.0,1765.0,3796.0,31.7,2584.0,2977.0,0.87,Zona occidental
GUAYMANGO,67.8,57.6,60.4,"1,833",485.0,604.0,576.0,595.0,713.0,598.0,Ahuachapán,19832.0,1156.0,18676.0,5.8,9447.0,10385.0,0.91,Zona occidental
JUJUTLA,67.9,53.6,59.5,"2,090",507.0,595.0,536.0,575.0,716.0,599.0,Ahuachapán,28059.0,2359.0,257.0,8.4,13841.0,14218.0,0.97,Zona occidental
SAN FRANCISCO MENÉNDEZ,69.1,53.3,66.3,"2,774",555.0,663.0,533.0,620.0,735.0,637.0,Ahuachapán,43478.0,10755.0,32723.0,24.7,21431.0,22047.0,0.97,Zona occidental
SAN LORENZO,68.3,60.4,78.8,"2,690",549.0,788.0,604.0,727.0,722.0,666.0,Ahuachapán,8326.0,1155.0,7171.0,13.9,4264.0,4062.0,1.05,Zona occidental
SAN PEDRO PUXTLA,70.3,52.4,68.4,"2,737",552.0,684.0,524.0,630.0,755.0,646.0,Ahuachapán,8411.0,3541.0,487.0,42.1,4306.0,4105.0,1.05,Zona occidental
TACUBA,69.1,54.7,67.9,"1,973",498.0,679.0,547.0,635.0,735.0,623.0,Ahuachapán,22425.0,5503.0,16922.0,24.5,11332.0,11093.0,1.02,Zona occidental
TURÍN,71.2,63.6,83.0,"4,681",642.0,830.0,636.0,766.0,770.0,726.0,Ahuachapán,5828.0,317.0,2659.0,54.4,2765.0,3063.0,0.9,Zona occidental
CINQUERA,65.9,65.9,64.6,"1,303",428.0,646.0,659.0,650.0,681.0,587.0,Cabañas,1184.0,2930.0,8910.0,24.7,6250.0,5590.0,1.12,Zona central
GUACOTECTI,65.3,60.8,73.2,"3,037",570.0,732.0,608.0,691.0,672.0,644.0,Cabañas,4424.0,7610.0,3663.0,17.2,196.0,2464.0,0.8,Zona central
