Clave,Comuna,Mortalidad_infantil,Personas_+15_años_alfabetas,Personas_6_24_años_que_van_a_la_escuela,PIB_per_cápita_en_dólares_ajustados,Sobrevivencia_infantil,Índice_de_nivel_de_escolaridad,PIB_per_cápita,IDH_2000,Grado_IDH,Lugar,State,Hovername,Pop_Total_2010,Pop_Hombre,Pop_Mujer,Macroregioes
1001.0,Aguascalientes,20.7,96.1,65.5,11302.0,868.0,859.0,789.0,839.0,Alto,50.0,Aguascalientes,"AGUASCALIENTES, AGUASCALIENTES",797010.0,386429.0,410581.0,Center-West
1002.0,Asientos,26.6,92.6,58.0,3889.0,823.0,810.0,611.0,748.0,Medio alto,687.0,Aguascalientes,"ASIENTOS, AGUASCALIENTES",45492.0,22512.0,22980.0,Center-West
1003.0,Calvillo,23.9,91.8,56.2,3767.0,843.0,799.0,606.0,749.0,Medio alto,667.0,Aguascalientes,"CALVILLO, AGUASCALIENTES",54136.0,26250.0,27886.0,Center-West
1004.0,Cosío,25.3,93.8,59.4,4202.0,832.0,823.0,624.0,760.0,Medio alto,564.0,Aguascalientes,"COSIO, AGUASCALIENTES",15042.0,7326.0,7716.0,Center-West
1005.0,Jesús María,23.1,93.4,57.2,6925.0,849.0,813.0,707.0,790.0,Medio alto,268.0,Aguascalientes,"JESUS MARIA, AGUASCALIENTES",99590.0,49090.0,50500.0,Center-West
1006.0,Pabellón de Arteaga,21.9,93.7,61.8,6884.0,859.0,831.0,706.0,799.0,Medio alto,207.0,Aguascalientes,"PABELLON DE ARTEAGA, AGUASCALIENTES",41862.0,20170.0,21692.0,Center-West
1007.0,Rincón de Romos,23.2,93.0,63.0,5562.0,849.0,830.0,671.0,783.0,Medio alto,315.0,Aguascalientes,"RINCON DE ROMOS, AGUASCALIENTES",49156.0,24067.0,25089.0,Center-West
1008.0,San José de Gracia,25.4,95.0,61.6,4192.0,832.0,839.0,624.0,765.0,Medio alto,503.0,Aguascalientes,"SAN JOSE DE GRACIA, AGUASCALIENTES",8443.0,4043.0,4400.0,Center-West
1009.0,Tepezalá,26.1,92.9,59.5,5665.0,827.0,818.0,674.0,773.0,Medio alto,412.0,Aguascalientes,"TEPEZALA, AGUASCALIENTES",19668.0,9600.0,10068.0,Center-West
1010.0,El Llano,27.3,91.4,59.1,3739.0,817.0,806.0,604.0,743.0,Medio alto,749.0,Aguascalientes,"EL LLANO, AGUASCALIENTES",18828.0,9573.0,9255.0,Center-West
1011.0,San Francisco de los Romo,22.7,92.0,58.0,7905.0,853.0,807.0,729.0,796.0,Medio alto,226.0,Aguascalientes,"SAN FRANCISCO DE LOS ROMO, AGUASCALIENTES",35769.0,17578.0,18191.0,Center-West
2002.0,Mexicali,20.9,96.5,65.6,11855.0,867.0,862.0,797.0,842.0,Alto,41.0,Baja California,"MEXICALI, BAJA CALIFORNIA",466814.0,235130.0,231684.0,Northwest
2003.0,Tecate,23.8,95.9,60.6,6750.0,844.0,842.0,703.0,796.0,Medio alto,223.0,Baja California,"TECATE, BAJA CALIFORNIA",936826.0,473203.0,463623.0,Northwest
2004.0,Tijuana,21.3,97.1,59.3,9812.0,864.0,845.0,765.0,825.0,Alto,88.0,Baja California,"TIJUANA, BAJA CALIFORNIA",101079.0,53323.0,47756.0,Northwest
2005.0,Playas de Rosarito,22.6,95.9,59.1,5353.0,854.0,837.0,664.0,785.0,Medio alto,304.0,Baja California,"PLAYAS DE ROSARITO, BAJA CALIFORNIA",1559683.0,783653.0,776030.0,Northwest
3001.0,Comondú,24.8,93.0,64.5,5408.0,837.0,835.0,666.0,779.0,Medio alto,347.0,Baja California Sur,"COMONDU, BAJA CALIFORNIA SUR",90668.0,46301.0,44367.0,Northwest
