Code,State,City,Pop_2003,Pop_2007,Pop_2010,Pop_2011,Pop_2012,Pop_2015,Pop_2017,HDI_2003,HDI_2007,HDI_2010,HDI_2011,HDI_2012,HDI_2015,HDI_2017,LifeExp_2003,LifeExp_2007,LifeExp_2010,LifeExp_2011,LifeExp_2012,LifeExp_2015,LifeExp_2017,Edu_2003,Edu_2007,Edu_2010,Edu_2011,Edu_2012,Edu_2015,Edu_2017,Edu25plus_2003,Edu25plus_2007,Edu25plus_2010,Edu25plus_2011,Edu25plus_2012,Edu25plus_2015,Edu25plus_2017,Income_2003,Income_2007,Income_2010,Income_2011,Income_2012,Income_2015,Income_2017,Macroregiao,Macroregioes_Topografica
010101,AMAZONAS,Chachapoyas ,21457,23939,26967,27356,27737,28731,32589,362.59999999999997,416.8,531.8000000000001,529.9000000000001,546.8,586.0,605.7,71.57,72.77,72.99,73.26,73.42,73.51,73.3,62.35,62.52,62.72,62.72,62.72,68.51,74.7,9.51,9.59,9.92,9.97,9.97,9.91,9.76,295.23,417.93,808.63,794.20,866.57,1015.76,1086.76,Norte,Sierra
010102,AMAZONAS,Asuncion    ,322,289,301,299,296,288,262,137.9,133.8,167.7,164.3,167.7,351.1,421.3,68.31,72.77,72.73,73.42,72.75,73.34,72.35,0.67,0.76,0.63,0.71,0.75,32.32,66.67,5.91,5.99,6.16,6.09,6.08,6.01,5.87,237.91,191.59,367.71,327.67,341.99,462.57,569.61,Norte,Sierra
010103,AMAZONAS,Balsas   ,1312,1401,1561,1575,1590,1625,1136,210.2,216.70000000000002,260.1,258.2,262.6,284.9,294.20000000000005,70.11,72.25,71.82,72.1,71.58,70.59,68.71,14.46,14.49,14.44,14.47,14.48,22.28,30.77,4.96,4.89,5.14,5.26,5.28,5.15,4.99,204.70,214.29,336.76,322.96,340.28,362.57,363.00,Norte,Sierra
010104,AMAZONAS,Cheto  ,723,582,618,614,608,591,642,245.10000000000002,270.7,320.5,320.7,329.1,336.4,329.5,65.36,72.77,75.85,77.53,78.66,82.21,83.9,44.52,44.63,44.46,44.56,44.61,46.7,49.02,4.72,4.72,5.04,4.95,4.96,4.67,4.27,213.24,237.93,335.45,330.14,346.76,355.26,342.57,Norte,Sierra
010105,AMAZONAS,Chiliquin ,1570,851,845,818,790,711,585,173.3,170.1,213.2,207.9,211.9,251.8,264.6,65.32,72.46,74.6,76.07,76.54,77.97,77.26,7.99,8.03,7.96,8.0,8.03,20.76,34.62,4.18,4.1,4.37,4.38,4.44,3.9,3.3,200.06,169.47,275.71,250.79,258.57,289.47,308.81,Norte,Sierra
010106,AMAZONAS,Chuquibamba  ,2580,2074,2192,2169,2146,2069,1781,212.60000000000002,200.5,237.3,229.7,231.1,247.5,248.9,71.32,71.92,71.05,71.01,70.38,68.55,66.22,10.31,10.36,10.28,10.33,10.35,19.07,28.57,5.93,5.92,6.12,6.13,6.15,5.93,5.65,212.23,181.44,277.58,254.34,260.76,253.74,233.74,Norte,Sierra
010107,AMAZONAS,Granada    ,721,426,435,425,415,385,480,248.0,246.60000000000002,329.2,319.29999999999995,324.0,350.9,344.2,68.78,72.28,71.09,71.45,70.13,68.48,65.21,40.08,40.13,40.05,40.1,40.13,32.45,24.14,4.84,4.97,5.22,5.25,5.28,4.75,4.1,211.07,191.68,403.70,367.12,390.82,600.67,793.64,Norte,Sierra
010108,AMAZONAS,Huancas  ,583,809,1010,1063,1119,1305,1258,225.5,246.10000000000002,293.1,290.2,294.70000000000005,365.3,417.4,65.16,72.62,73.54,74.85,74.4,76.38,75.94,25.63,25.79,25.54,25.69,25.77,42.79,61.36,5.3,5.22,6.02,5.73,5.74,5.93,5.95,203.13,220.87,313.40,306.95,321.71,432.84,533.84,Norte,Sierra
010109,AMAZONAS,La Jalca ,6991,5344,5702,5669,5632,5505,3978,208.6,200.2,232.5,226.1,228.0,272.1,303.20000000000005,67.12,72.16,74.15,75.27,75.94,77.37,77.41,18.75,18.82,18.71,18.78,18.81,28.98,40.06,4.91,4.93,5.22,5.24,5.28,4.78,4.19,192.33,158.59,213.00,194.44,195.23,265.49,337.64,Norte,Sierra
010110,AMAZONAS,Leimebamba ,4401,3918,4231,4225,4217,4190,3620,228.1,215.79999999999998,284.0,274.0,279.5,344.5,390.0,71.37,72.31,72.11,72.25,72.09,71.55,70.66,11.41,11.49,11.37,11.45,11.49,23.96,37.55,6.27,6.2,6.41,6.41,6.41,6.32,6.19,234.54,201.5,409.31,368.84,390.02,505.33,598.86,Norte,Sierra
010111,AMAZONAS,Levanto ,1434,945,971,952,932,873,794,170.1,181.0,208.5,208.5,213.7,286.4,328.2,65.65,72.49,75.82,77.43,78.72,81.76,83.1,6.15,6.23,6.1,6.18,6.22,21.05,37.21,4.39,4.35,4.68,4.62,4.68,4.27,3.78,204.11,209.51,272.18,265.67,274.11,354.95,430.32,Norte,Sierra
010112,AMAZONAS,Magdalena  ,1294,880,896,877,856,795,852,260.2,298.5,390.90000000000003,388.40000000000003,401.6,430.20000000000005,442.09999999999997,70.11,72.43,72.98,73.45,73.55,73.79,73.32,36.62,36.75,36.55,36.67,36.74,43.07,50.0,5.82,5.85,6.23,6.22,6.27,6.25,6.16,214.57,291.09,580.40,564.35,615.16,691.82,709.87,Norte,Sierra
010113,AMAZONAS,Mariscal Castilla ,1704,1132,1147,1119,1090,1006,1367,208.4,220.6,259.29999999999995,257.6,262.79999999999995,369.5,452.0,71.58,71.8,71.18,71.13,70.74,69.91,68.87,11.02,11.1,10.97,11.05,11.09,28.37,47.19,5.62,5.64,5.9,5.91,5.93,6.32,6.69,202.15,231.02,348.60,341.63,361.60,587.75,807.30,Norte,Sierra
